product_slug,image_path,is_main,sort_order,alt
amouage-ashore,import_images/amouage-ashore/1.avif,1,1,Amouage Ashore фото 1
amouage-beach-hut,import_images/amouage-beach-hut/1.avif,1,1,Amouage Beach Hut фото 1
amouage-beach-hut-men,import_images/amouage-beach-hut-men/1.avif,1,1,Amouage Beach Hut Men фото 1
amouage-blossom-love,import_images/amouage-blossom-love/1.avif,1,1,Amouage Blossom Love фото 1
amouage-guidance,import_images/amouage-guidance/1.avif,1,1,Amouage Guidance фото 1
amouage-honour-43-woman,import_images/amouage-honour-43-woman/1.avif,1,1,Amouage Honour 43 Woman фото 1
amouage-honour-man,import_images/amouage-honour-man/1.avif,1,1,Amouage Honour man фото 1
amouage-honour-woman,import_images/amouage-honour-woman/1.avif,1,1,Amouage Honour woman фото 1
amouage-imitation-man,import_images/amouage-imitation-man/1.avif,1,1,Amouage Imitation man фото 1
amouage-imitation-woman,import_images/amouage-imitation-woman/1.avif,1,1,Amouage Imitation woman фото 1
amouage-interlude-53,import_images/amouage-interlude-53/1.avif,1,1,Amouage Interlude 53 фото 1
amouage-interlude-black-iris-man,import_images/amouage-interlude-black-iris-man/1.avif,1,1,Amouage Interlude Black Iris Man фото 1
amouage-interlude-man,import_images/amouage-interlude-man/1.avif,1,1,Amouage Interlude man фото 1
amouage-interlude-woman,import_images/amouage-interlude-woman/1.avif,1,1,Amouage Interlude woman фото 1
amouage-journey-man,import_images/amouage-journey-man/1.avif,1,1,Amouage Journey Man фото 1
amouage-journey-woman,import_images/amouage-journey-woman/1.avif,1,1,Amouage Journey woman фото 1
amouage-jubilation-25-woman,import_images/amouage-jubilation-25-woman/1.avif,1,1,Amouage Jubilation 25 woman фото 1
amouage-lilac-love,import_images/amouage-lilac-love/1.avif,1,1,Amouage Lilac Love фото 1
amouage-lineage,import_images/amouage-lineage/1.avif,1,1,Amouage Lineage фото 1
amouage-love-mimosa,import_images/amouage-love-mimosa/1.avif,1,1,Amouage Love Mimosa фото 1
amouage-love-tuberose,import_images/amouage-love-tuberose/1.avif,1,1,Amouage Love Tuberose фото 1
amouage-lustre,import_images/amouage-lustre/1.avif,1,1,Amouage Lustre фото 1
amouage-lyric-man,import_images/amouage-lyric-man/1.avif,1,1,Amouage Lyric man фото 1
