id,name,slug
1025,Amouage Honour woman,amouage-honour-woman
1026,Amouage Sunshine woman,amouage-sunshine-woman
1027,Amouage Reflection woman,amouage-reflection-woman
1028,Amouage Reflection man,amouage-reflection-man
1029,Amouage Interlude man,amouage-interlude-man
1030,Amouage Guidance,amouage-guidance
1031,Amouage Blossom Love,amouage-blossom-love
1034,Amouage Journey woman,amouage-journey-woman
1035,Amouage Lilac Love,amouage-lilac-love
1040,Amouage Interlude woman,amouage-interlude-woman
1042,Amouage Love Tuberose,amouage-love-tuberose
1043,Amouage Honour man,amouage-honour-man
1045,Amouage Imitation woman,amouage-imitation-woman
1046,Amouage Love Mimosa,amouage-love-mimosa
1048,Amouage Lyric man,amouage-lyric-man
1050,Amouage Sunshine Man,amouage-sunshine-man
1051,Amouage Guidance 46,dukhi-amouage-guidance-46
1054,Amouage Myths Woman,amouage-myths-woman
1056,Amouage Lyric woman,amouage-lyric-woman
1060,Amouage Myths Men,amouage-myths-men
1064,Amouage Interlude Black Iris Man,amouage-interlude-black-iris-man
1066,Amouage Journey Man,amouage-journey-man
1067,Amouage Love Delight,zhenskie-dukhi-amouage-love-delight
1068,Amouage Honour 43 Woman,amouage-honour-43-woman
1069,Amouage Jubilation 25 woman,amouage-jubilation-25-woman
1071,Amouage Beach Hut Men,amouage-beach-hut-men
1072,Amouage Material,amouage-material
1074,Amouage Beach Hut,amouage-beach-hut
1077,Amouage Portrayal Woman,amouage-portrayal-woman
1080,Amouage Purpose,amouage-purpose
1082,Amouage Overture Man,amouage-overture-man
1085,Amouage Outlands,amouage-outlands
1088,Amouage Ashore,amouage-ashore
1090,Amouage Overture Women,amouage-overture-women
1091,Amouage The Library Collection Opus V Woods Symphony,amouage-the-library-collection-opus-v-woods-symphony
1092,Amouage Lineage,amouage-lineage
1093,Amouage Search,amouage-search
1094,Amouage Opus VII Reckless Leather,amouage-opus-vii-reckless-leather
1095,Amouage Imitation man,amouage-imitation-man
1098,Amouage The Library Collection Opus XIV Royal Tobacco,amouage-the-library-collection-opus-xiv-royal-tobacco
1099,Amouage Interlude 53,amouage-interlude-53
1105,Amouage Portrayal Man,amouage-portrayal-man
1107,Amouage Lustre,amouage-lustre
1108,Amouage Reasons,amouage-reasons
1112,Amouage Reflection 45,amouage-reflection-45
1114,Amouage Purpose 50,amouage-purpose-50
2593,Bvlgari Aqva Pour Homme Marine,bvlgari-aqva-pour-homme-marine
2594,Bvlgari Omnia Crystalline,bvlgari-omnia-crystalline
2595,Bvlgari Aqva Pour Homme,bvlgari-aqva-pour-homme
2596,Bvlgari Omnia Coral,bvlgari-omnia-coral
2597,Bvlgari Man In Black,bvlgari-man-in-black
2599,Bvlgari Omnia Amethyste,bvlgari-omnia-amethyste
2600,Bvlgari Aqva Pour Homme Atlantiqve,bvlgari-aqva-pour-homme-atlantiqve
2601,Bvlgari Omnia Paraiba,bvlgari-omnia-paraiba
2602,Bvlgari Aqva Amara,bvlgari-aqva-amara
2603,Bvlgari Rose Goldea,bvlgari-rose-goldea
2604,Bvlgari Omnia Indian Garnet,bvlgari-omnia-indian-garnet
